WARNING 2025-05-14 02:55:19,954 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:55:19,955 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 02:55:23,999 basehttp "GET /catalog/ HTTP/1.1" 200 56180
WARNING 2025-05-14 02:55:24,060 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:55:24,061 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
INFO 2025-05-14 02:55:24,596 basehttp "GET /my_shelf/ HTTP/1.1" 200 40891
WARNING 2025-05-14 02:55:24,662 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:55:24,663 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 02:56:24,696 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:56:24,696 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 02:57:24,709 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:57:24,709 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 02:58:24,695 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:58:24,696 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 02:59:24,709 log Not Found: /api/notifications/count/
WARNING 2025-05-14 02:59:24,709 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:00:24,703 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:00:24,704 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:01:25,701 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:01:25,702 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:02:26,702 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:02:26,703 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:03:27,703 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:03:27,703 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:04:28,708 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:04:28,709 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:05:29,709 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:05:29,710 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:06:30,707 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:06:30,709 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:07:31,702 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:07:31,703 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:08:32,697 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:08:32,698 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:09:33,700 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:09:33,701 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:10:34,700 log Not Found: /api/notifications/count/
